Question,Generated SQL,Executed Successfully,Retry Needed,Row Count,Final Status,Message
List all products,SELECT * FROM products ;,True,False,110,Success,Success
Get orderdetails with product vendor,"SELECT od.""orderNumber"", p.""productVendor"" FROM orderdetails od JOIN products p ON od.""productCode"" = p.""productCode"" ;",True,False,2996,Success,Success
Get payments with customer country,"SELECT pm.""checkNumber"", c.country FROM payments pm JOIN customers c ON pm.""customerNumber"" = c.""customerNumber"" ;",True,False,273,Success,Success
Count customers per country,"SELECT country, COUNT(*) AS result FROM customers GROUP BY country;",True,False,28,Success,Success
Total payments per customer,"SELECT c.""customerNumber"", SUM(pm.amount) AS result FROM payments pm JOIN customers c ON pm.""customerNumber"" = c.""customerNumber"" GROUP BY c.""customerNumber"";",True,False,98,Success,Success
Number of orders per status,"SELECT status, COUNT(*) AS result FROM orders GROUP BY status;",True,False,6,Success,Success
Products per product line,"SELECT pl.""productLine"", COUNT(*) AS result FROM products p JOIN productlines pl ON p.""productLine"" = pl.""productLine"" GROUP BY pl.""productLine"";",True,False,7,Success,Success
Employees per office,"SELECT of.""officeCode"", COUNT(*) AS result FROM employees e JOIN offices of ON e.""officeCode"" = of.""officeCode"" GROUP BY of.""officeCode"";",True,False,7,Success,Success
Total stock per product vendor,"SELECT ""productVendor"", SUM(""quantityInStock"") AS result FROM products GROUP BY ""productVendor"";",True,False,13,Success,Success
Average buy price per product line,"SELECT pl.""productLine"", AVG(p.""buyPrice"") AS result FROM products p JOIN productlines pl ON p.""productLine"" = pl.""productLine"" GROUP BY pl.""productLine"";",True,False,7,Success,Success
Orders per customer,"SELECT c.""customerNumber"", COUNT(*) AS result FROM orders o JOIN customers c ON o.""customerNumber"" = c.""customerNumber"" GROUP BY c.""customerNumber"";",True,False,98,Success,Success
Max MSRP per product line,"SELECT pl.""productLine"", MAX(p.""MSRP"") AS result FROM products p JOIN productlines pl ON p.""productLine"" = pl.""productLine"" GROUP BY pl.""productLine"";",True,False,7,Success,Success
Min buy price per vendor,"SELECT ""productVendor"", MIN(""buyPrice"") AS result FROM products GROUP BY ""productVendor"";",True,False,13,Success,Success
Total number of customers,SELECT COUNT(*) AS result FROM customers ;,True,False,1,Success,Success
Total number of products,SELECT COUNT(*) AS result FROM products ;,True,False,1,Success,Success
Total revenue from payments,SELECT SUM(amount) AS result FROM payments ;,True,False,1,Success,Success
Average product price,"SELECT AVG(""buyPrice"") AS result FROM products ;",True,False,1,Success,Success
Max payment amount,SELECT MAX(amount) AS result FROM payments ;,True,False,1,Success,Success
Min payment amount,SELECT MIN(amount) AS result FROM payments ;,True,False,1,Success,Success
Count total orders,SELECT COUNT(*) AS result FROM orders ;,True,False,1,Success,Success
Total quantity in stock,"SELECT SUM(""quantityInStock"") AS result FROM products ;",True,False,1,Success,Success
Average MSRP,"SELECT AVG(""MSRP"") AS result FROM products ;",True,False,1,Success,Success
Number of employees,SELECT COUNT(*) AS result FROM employees ;,True,False,1,Success,Success
